     index            Field [G]         Intensity []

         1               1699.8   -0.651827724257709
         2               1700.2   -0.651549825613324
         3               1700.6   -0.651872576498189
         4                 1701   -0.652871319061575
         5               1701.4   -0.654352573199835
         6               1701.8   -0.655612186269472
         7               1702.2   -0.655534257257473
         8               1702.6   -0.653218062995934
         9                 1703   -0.648579419769782
        10               1703.4   -0.642177043143816
        11               1703.8   -0.634517820610199
        12               1704.2   -0.625989467043837
        13               1704.6   -0.617803154789726
        14                 1705   -0.612683918683615
        15               1705.4   -0.613897974079009
        16               1705.8   -0.623067688655283
        17               1706.2   -0.638761249021627
        18               1706.6   -0.657072453359433
        19                 1707   -0.673422499727167
        20               1707.4   -0.684133125439985
        21               1707.8   -0.687333958674571
        22               1708.2   -0.683509457150649
        23               1708.6   -0.675458176039683
        24                 1709   -0.667122584884055
        25               1709.4   -0.661748306600202
        26               1709.8   -0.660641814843984
        27               1710.2   -0.663015787504264
        28               1710.6   -0.666429766992223
        29                 1711   -0.667708805012808
        30               1711.4   -0.664637074951315
        31               1711.8   -0.657593763331533
        32               1712.2   -0.649312650319189
        33               1712.6   -0.642502004666312
        34                 1713    -0.63768870842614
        35               1713.4    -0.63364841206203
        36               1713.8   -0.629817346787604
        37               1714.2   -0.627843743903213
        38               1714.6    -0.63053218760615
        39                 1715   -0.639258058086853
        40               1715.4   -0.652301251138852
        41               1715.8   -0.665490174134902
        42               1716.2   -0.674555891091586
        43               1716.6    -0.67747711714037
        44                 1717   -0.675440508450265
        45               1717.4   -0.672164437433821
        46               1717.8   -0.672110125502513
        47               1718.2   -0.678182974195806
        48               1718.6   -0.689700350761996
        49                 1719   -0.702047675193171
        50               1719.4   -0.709195289608033
        51               1719.8    -0.70794531548745
        52               1720.2   -0.700386226933915
        53               1720.6   -0.691986166551942
        54                 1721   -0.686901983783173
        55               1721.4   -0.684920404382865
        56               1721.8   -0.682639804916107
        57               1722.2    -0.67717219372571
        58               1722.6   -0.668646756887028
        59                 1723   -0.659774323328747
        60               1723.4   -0.653724321891787
        61               1723.8   -0.652348076095222
        62               1724.2   -0.655586376276915
        63               1724.6   -0.661864551977487
        64                 1725   -0.669086213099945
        65               1725.4    -0.67571276883973
        66               1725.8   -0.681226770495414
        67               1726.2   -0.685635768262728
        68               1726.6   -0.688525643032335
        69                 1727   -0.688713737072248
        70               1727.4   -0.685190794778464
        71               1727.8   -0.678814050304936
        72               1728.2   -0.672989389604481
        73               1728.6   -0.671930440243159
        74                 1729   -0.677470591777819
        75               1729.4    -0.68744986672391
        76               1729.8   -0.697452490770957
        77               1730.2   -0.704079079412622
        78               1730.6   -0.706421798910014
        79                 1731   -0.704909713400411
        80               1731.4    -0.69979386045452
        81               1731.8   -0.691331413727312
        82               1732.2   -0.681063513336994
        83               1732.6   -0.672181593312416
        84                 1733   -0.668136379215866
        85               1733.4   -0.670494485020754
        86               1733.8   -0.677775154334086
        87               1734.2   -0.686288489174331
        88               1734.6   -0.692342202608415
        89                 1735   -0.693898140940291
        90               1735.4   -0.690427315115812
        91               1735.8   -0.681853893205698
        92               1736.2    -0.66836706038157
        93               1736.6   -0.651294994495402
        94                 1737   -0.633491161577695
        95               1737.4   -0.618263730721083
        96               1737.8   -0.607864506251644
        97               1738.2   -0.603137174803123
        98               1738.6   -0.604342401427857
        99                 1739   -0.611584046433563
       100               1739.4   -0.623874007978884
       101               1739.8   -0.638081946905004
       102               1740.2    -0.64986940043309
       103               1740.6   -0.656575403096213
       104                 1741   -0.659214679719298
       105               1741.4   -0.661111669411184
       106               1741.8   -0.664371700819174
       107               1742.2   -0.667956643017533
       108               1742.6    -0.66923095061793
       109                 1743    -0.66689483459777
       110               1743.4   -0.662137121769774
       111               1743.8   -0.657351788548112
       112               1744.2   -0.654153778014006
       113               1744.6   -0.652346964649041
       114                 1745   -0.650333363417303
       115               1745.4   -0.646725359896664
       116               1745.8   -0.642173905995151
       117               1746.2   -0.639733907206391
       118               1746.6   -0.642953749607841
       119                 1747   -0.653115839129896
       120               1747.4   -0.668060359246738
       121               1747.8   -0.683562068807078
       122               1748.2    -0.69612558982044
       123               1748.6   -0.705139099343796
       124                 1749   -0.712608354137046
       125               1749.4   -0.720182006640243
       126               1749.8   -0.725844559157849
       127               1750.2   -0.724081205786206
       128               1750.6   -0.710515368460619
       129                 1751     -0.6868947240946
       130               1751.4   -0.661096003095736
       131               1751.8    -0.64179117531603
       132               1752.2   -0.632891331290011
       133               1752.6   -0.632535771394032
       134                 1753   -0.636373510104022
       135               1753.4   -0.641342752038327
       136               1753.8   -0.647038193703338
       137               1754.2   -0.654622980342538
       138               1754.6   -0.664876975009975
       139                 1755   -0.676851529453415
       140               1755.4   -0.687851297967427
       141               1755.8   -0.694727696929476
       142               1756.2   -0.695690249660402
       143               1756.6   -0.691331174260995
