     index            Field [G]         Intensity []

         1               1699.8   -0.677330189444239
         2               1700.2   -0.673273437147072
         3               1700.6   -0.668513209419858
         4                 1701   -0.663477757485818
         5               1701.4   -0.658283213188577
         6               1701.8   -0.652656778645796
         7               1702.2    -0.64645060270166
         8               1702.6   -0.640570689858493
         9                 1703   -0.637330225698637
        10               1703.4   -0.639277087708807
        11               1703.8   -0.646893091681704
        12               1704.2   -0.657120850133651
        13               1704.6   -0.664492311349022
        14                 1705   -0.664305720209086
        15               1705.4   -0.655259080900578
        16               1705.8   -0.639654512458947
        17               1706.2   -0.621764715469908
        18               1706.6   -0.606110561857349
        19                 1707   -0.596337290589872
        20               1707.4   -0.594262053476996
        21               1707.8   -0.599124704101996
        22               1708.2    -0.60785561267403
        23               1708.6   -0.616538269641751
        24                 1709   -0.621975664282218
        25               1709.4   -0.622381765133468
        26               1709.8    -0.61755191503471
        27               1710.2   -0.609259749311605
        28               1710.6   -0.601439461868722
        29                 1711   -0.598921584874915
        30               1711.4   -0.604677222814644
        31               1711.8   -0.617479646432912
        32               1712.2   -0.632180188425991
        33               1712.6   -0.642757478359272
        34                 1713   -0.645837470736296
        35               1713.4   -0.642017328093061
        36               1713.8   -0.634465883165831
        37               1714.2   -0.626583888166351
        38               1714.6   -0.620635336941632
        39                 1715   -0.617673931941681
        40               1715.4   -0.617988253528893
        41               1715.8   -0.621437898342265
        42               1716.2   -0.627487469188054
        43               1716.6    -0.63496842958557
        44                 1717   -0.641938164022577
        45               1717.4   -0.646213274420006
        46               1717.8    -0.64660759860999
        47               1718.2   -0.643976994986588
        48               1718.6   -0.640962301826221
        49                 1719   -0.640249849602696
        50               1719.4    -0.64257319518947
        51               1719.8   -0.646300112843164
        52               1720.2   -0.649240706356068
        53               1720.6   -0.650930675117706
        54                 1721   -0.652815171953989
        55               1721.4   -0.656118521335884
        56               1721.8   -0.660060958012764
        57               1722.2   -0.662483025465917
        58               1722.6   -0.661680588746094
        59                 1723   -0.657133109569259
        60               1723.4   -0.649146609008312
        61               1723.8   -0.639093259705987
        62               1724.2   -0.630206986243138
        63               1724.6   -0.626857662005932
        64                 1725   -0.631607015951886
        65               1725.4   -0.642554355945322
        66               1725.8   -0.653976127243368
        67               1726.2   -0.660113979509333
        68               1726.6   -0.658861864860228
        69                 1727   -0.652347125549568
        70               1727.4   -0.644358210105565
        71               1727.8   -0.637243540026248
        72               1728.2   -0.631069449838833
        73               1728.6   -0.625401722092647
        74                 1729   -0.621218895954371
        75               1729.4   -0.620308764846413
        76               1729.8   -0.622723373955523
        77               1730.2   -0.625747909019992
        78               1730.6     -0.6263344416584
        79                 1731   -0.624543740610534
        80               1731.4   -0.623882844025502
        81               1731.8   -0.627842450725439
        82               1732.2   -0.636269057009486
        83               1732.6   -0.645311540167313
        84                 1733   -0.650785084726522
        85               1733.4   -0.651565661893983
        86               1733.8   -0.650167588159093
        87               1734.2   -0.650528874124575
        88               1734.6   -0.655059810393141
        89                 1735   -0.662975121056661
        90               1735.4   -0.670767255222017
        91               1735.8   -0.674475153995445
        92               1736.2    -0.67242407194135
        93               1736.6     -0.6665736819632
        94                 1737   -0.661263323068852
        95               1737.4    -0.66014023480966
        96               1737.8   -0.663752330518037
        97               1738.2   -0.669694577947666
        98               1738.6   -0.674768462558859
        99                 1739   -0.676993520872202
       100               1739.4     -0.6760296669745
       101               1739.8   -0.672399639028299
       102               1740.2   -0.666785466186411
       103               1740.6   -0.660048505589657
       104                 1741   -0.653501931177743
       105               1741.4   -0.648615202517249
       106               1741.8   -0.646123603153683
       107               1742.2   -0.645540490928397
       108               1742.6   -0.645933501778927
       109                 1743     -0.6473624779901
       110               1743.4   -0.651249384543917
       111               1743.8   -0.658801145757025
       112               1744.2   -0.668821420098539
       113               1744.6    -0.67736136251915
       114                 1745   -0.680116457115219
       115               1745.4   -0.675648420772632
       116               1745.8   -0.666514772456139
       117               1746.2   -0.657459286499943
       118               1746.6   -0.652551387822314
       119                 1747   -0.653551281830005
       120               1747.4   -0.660004803889024
       121               1747.8   -0.670083326214808
       122               1748.2   -0.681193454103777
       123               1748.6   -0.690224539466726
       124                 1749   -0.694009155893582
       125               1749.4   -0.690483481863339
       126               1749.8   -0.680057005731214
       127               1750.2   -0.665891618606111
       128               1750.6   -0.652420205238741
       129                 1751   -0.643028029458947
       130               1751.4   -0.638525778289477
       131               1751.8   -0.637217074843647
       132               1752.2   -0.636245251640503
       133               1752.6   -0.633448234206298
       134                 1753   -0.628776784389629
       135               1753.4   -0.624321302013414
       136               1753.8   -0.622822478289891
       137               1754.2   -0.625845153575938
       138               1754.6   -0.632999320681847
       139                 1755   -0.642431141335692
       140               1755.4   -0.651843428488064
       141               1755.8   -0.659375753530185
       142               1756.2   -0.664017062204948
       143               1756.6   -0.665444959049637
       144                 1757    -0.66373245484283
       145               1757.4   -0.659744441931252
       146               1757.8    -0.65608244928444
       147               1758.2    -0.65687847132358
       148               1758.6   -0.665165316837374
       149                 1759   -0.679455688215967
       150               1759.4   -0.693194613697415
       151               1759.8   -0.698703087015019
       152               1760.2   -0.692724652471952
       153               1760.6   -0.678732434236736
       154                 1761   -0.664019328411086
       155               1761.4   -0.654196322328062
       156               1761.8   -0.649695350555703
       157               1762.2    -0.64696202113555
       158               1762.6   -0.642963852864341
       159                 1763    -0.63850865465065
       160               1763.4   -0.636819643928902
       161               1763.8   -0.638884864230931
       162               1764.2   -0.641126697133586
       163               1764.6   -0.638628990360303
       164                 1765   -0.630596927760052
       165               1765.4   -0.621855033416068
       166               1765.8   -0.618711533286842
       167               1766.2   -0.623822415022005
       168               1766.6   -0.635164020030061
       169                 1767   -0.648989582892682
       170               1767.4   -0.662608476777677
       171               1767.8   -0.674334230359818
       172               1768.2   -0.682121192308841
       173               1768.6   -0.683846713589446
       174                 1769   -0.679513624076208
       175               1769.4    -0.67253601156699
       176               1769.8   -0.667854279461608
       177               1770.2   -0.668292605863826
       178               1770.6   -0.672638728356105
       179                 1771   -0.676954973008833
       180               1771.4    -0.67750971782516
       181               1771.8   -0.672964568962925
       182               1772.2   -0.664705774222966
       183               1772.6   -0.655488116884953
       184                 1773   -0.647489328024676
       185               1773.4   -0.641350407197024
       186               1773.8   -0.636832004413009
       187               1774.2   -0.633906767507142
       188               1774.6   -0.632847918510379
       189                 1775   -0.633562073031499
       190               1775.4   -0.635406937908556
       191               1775.8   -0.637677932376391
       192               1776.2   -0.639866984303808
       193               1776.6   -0.641401369080995
       194                 1777   -0.641534691130801
       195               1777.4   -0.639692047712742
       196               1777.8   -0.635709007372498
       197               1778.2   -0.629680282741901
       198               1778.6   -0.621998919254111
       199                 1779   -0.613902825738478
       200               1779.4   -0.607703740803117
       201               1779.8   -0.605834869893442
       202               1780.2   -0.609339699585689
       203               1780.6   -0.617429670812271
       204                 1781   -0.628704461734742
       205               1781.4   -0.642643865874561
       206               1781.8   -0.659479809793993
       207               1782.2   -0.678395173381432
       208               1782.6   -0.696172898475197
       209                 1783   -0.708206537769001
       210               1783.4   -0.711262055265252
       211               1783.8    -0.70554950080259
       212               1784.2   -0.694487773616856
       213               1784.6   -0.682705204679223
       214                 1785   -0.674020691862097
       215               1785.4   -0.670668634425965
       216               1785.8   -0.673534526016738
       217               1786.2   -0.682034994111746
       218               1786.6   -0.692995551253262
       219                 1787   -0.700097785258549
       220               1787.4   -0.696226123065571
       221               1787.8   -0.678311849078455
       222               1788.2   -0.650663531756436
       223               1788.6   -0.623062404891243
       224                 1789   -0.604640044562984
       225               1789.4   -0.598657235685096
       226               1789.8   -0.602173193154158
       227               1790.2   -0.609831305577245
       228               1790.6   -0.617982302996097
       229                 1791   -0.626401189394528
       230               1791.4   -0.637350795230304
       231               1791.8   -0.653022491365846
       232               1792.2    -0.67280792859674
       233               1792.6   -0.692322334907658
       234                 1793   -0.705533349922916
       235               1793.4   -0.708857094075938
       236               1793.8   -0.703758360759821
       237               1794.2   -0.695356865973736
       238               1794.6   -0.688420648344618
       239                 1795   -0.684642204818374
       240               1795.4   -0.683221172490448
       241               1795.8   -0.682911657080695
       242               1796.2   -0.682717257666809
       243               1796.6   -0.681192790536443
       244                 1797   -0.676608455818496
       245               1797.4   -0.668755689970567
       246               1797.8   -0.660169412032701
       247               1798.2   -0.654526669160987
       248               1798.6    -0.65332342403417
       249                 1799   -0.654257070600579
       250               1799.4   -0.652969361311989
       251               1799.8   -0.646297266604961
       252               1800.2   -0.634216863873007
       253               1800.6   -0.619635291106533
       254                 1801   -0.606969741020293
       255               1801.4   -0.600429446851194
       256               1801.8    -0.60242326909065
       257               1802.2    -0.61266756207624
       258               1802.6   -0.628573760914151
       259                 1803    -0.64659666748048
       260               1803.4   -0.663358047233487
       261               1803.8   -0.675869062921265
       262               1804.2   -0.681544105114881
       263               1804.6   -0.678907863002678
       264                 1805   -0.668559029523749
       265               1805.4   -0.653266618421185
       266               1805.8   -0.637143972649937
       267               1806.2   -0.624622558520059
       268               1806.6   -0.619175224717765
       269                 1807    -0.62154947140516
       270               1807.4   -0.628805420725257
       271               1807.8   -0.635885698589846
       272               1808.2   -0.638979271323478
       273               1808.6   -0.637721361374133
       274                 1809   -0.634543170359393
       275               1809.4   -0.632424581228406
       276               1809.8   -0.633159985074599
       277               1810.2   -0.636820418745629
       278               1810.6   -0.641983697692922
       279                 1811   -0.646545272698859
       280               1811.4   -0.649082315379928
       281               1811.8   -0.649902496035793
       282               1812.2   -0.650484980797046
       283               1812.6   -0.651523527762038
       284                 1813   -0.651739815846668
       285               1813.4   -0.649062802549452
       286               1813.8   -0.642900379905768
       287               1814.2   -0.634866760483419
       288               1814.6   -0.627329417766305
       289                 1815    -0.62163902149041
       290               1815.4   -0.617760394605284
       291               1815.8   -0.615108487625548
       292               1816.2   -0.613451674740645
       293               1816.6   -0.613283463499101
       294                 1817   -0.615621174569242
       295               1817.4   -0.621238695501233
       296               1817.8   -0.629665640561143
       297               1818.2   -0.638856251738616
       298               1818.6   -0.646073245290609
       299                 1819   -0.649250699541881
       300               1819.4   -0.647675217289361
       301               1819.8   -0.641919643945585
       302               1820.2   -0.633709128793271
       303               1820.6   -0.625566233917198
       304                 1821   -0.619517683924641
       305               1821.4   -0.615558761135617
       306               1821.8   -0.611887983635825
       307               1822.2    -0.60729982049088
       308               1822.6   -0.603216961193539
       309                 1823   -0.602912339345494
       310               1823.4   -0.608682363686967
       311               1823.8   -0.619808743547765
       312               1824.2   -0.632891346715041
       313               1824.6    -0.64394028497918
       314                 1825   -0.650819449394476
       315               1825.4   -0.654674496341613
       316               1825.8   -0.659191603226645
       317               1826.2   -0.667744864811539
       318               1826.6   -0.680422264194931
       319                 1827   -0.693394397683733
       320               1827.4   -0.701244197436608
       321               1827.8   -0.700588752391923
       322               1828.2   -0.692512451365474
       323               1828.6   -0.682092478316918
       324                 1829   -0.675113141893235
       325               1829.4   -0.674276742371148
       326               1829.8   -0.678001760890766
       327               1830.2   -0.682691413749126
       328               1830.6   -0.685964348529524
       329                 1831   -0.687673266009369
       330               1831.4   -0.688362124237756
       331               1831.8   -0.687550074901083
       332               1832.2   -0.683861219971732
       333               1832.6   -0.676627097614983
       334                 1833   -0.667133864968491
       335               1833.4    -0.65833114671841
       336               1833.8   -0.653361405682517
       337               1834.2    -0.65401784615824
       338               1834.6   -0.659838450439565
       339                 1835   -0.668064170560683
       340               1835.4   -0.674783239257522
       341               1835.8   -0.677243484999053
       342               1836.2   -0.675834582369134
       343               1836.6   -0.673533897228481
       344                 1837    -0.67282191330014
       345               1837.4   -0.673211547516985
       346               1837.8   -0.672168828379654
       347               1838.2   -0.668190330790821
       348               1838.6   -0.662299228293705
       349                 1839   -0.656454056144867
       350               1839.4    -0.65115579518897
       351               1839.8   -0.645122151538089
       352               1840.2   -0.637174178373243
       353               1840.6   -0.628121033063508
       354                 1841   -0.620739602527465
       355               1841.4   -0.617933432215068
       356               1841.8   -0.620708586684486
       357               1842.2   -0.627614589604491
       358               1842.6   -0.635930217758869
       359                 1843   -0.643296410395124
       360               1843.4   -0.648270563520782
       361               1843.8   -0.649726634328545
       362               1844.2   -0.646428950625705
       363               1844.6   -0.637676749989623
       364                 1845   -0.624300249262888
       365               1845.4   -0.608726244921854
       366               1845.8   -0.593985804945987
       367               1846.2   -0.582695546545438
       368               1846.6   -0.576723055412003
       369                 1847   -0.577167029317934
       370               1847.4   -0.584038900560699
       371               1847.8   -0.595822033305012
       372               1848.2   -0.609662722628855
       373               1848.6    -0.62243497846066
       374                 1849   -0.631955224969715
       375               1849.4    -0.63749234349234
       376               1849.8   -0.639567001373507
       377               1850.2   -0.639616419335653
       378               1850.6   -0.639648210497398
       379                 1851   -0.641430724528618
       380               1851.4   -0.645242548860551
       381               1851.8    -0.64926728313003
       382               1852.2   -0.650712079092045
       383               1852.6   -0.648081685809302
       384                 1853   -0.642481532930105
       385               1853.4   -0.636540886895091
       386               1853.8   -0.632094238775608
       387               1854.2   -0.629096655116882
       388               1854.6   -0.626655850872339
       389                 1855   -0.624565705031273
       390               1855.4   -0.623386118975759
       391               1855.8   -0.623147837439319
       392               1856.2    -0.62259951140004
       393               1856.6   -0.620347667594615
       394                 1857   -0.616807605591021
       395               1857.4   -0.614483244498842
       396               1857.8   -0.615803702872654
       397               1858.2   -0.620758209268388
       398               1858.6   -0.626949208286533
       399                 1859   -0.631804793898482
       400               1859.4    -0.63441369895736
       401               1859.8   -0.635524184828682
       402               1860.2   -0.636535885329067
       403               1860.6    -0.63860820892296
       404                 1861   -0.641905303084059
       405               1861.4   -0.645017110931803
       406               1861.8   -0.645482624044234
       407               1862.2   -0.641741380110034
       408               1862.6   -0.634909565473208
       409                 1863   -0.628470147028565
       410               1863.4    -0.62619703704695
       411               1863.8    -0.63041335644084
       412               1864.2   -0.641594997257926
       413               1864.6   -0.658305502918665
       414                 1865   -0.676747146790149
       415               1865.4   -0.691181050489831
       416               1865.8   -0.696445376481279
       417               1866.2   -0.691111728257965
       418               1866.6   -0.678276425875083
       419                 1867   -0.663121632453112
       420               1867.4   -0.649620692398457
       421               1867.8    -0.63927282892837
       422               1868.2   -0.632346163241891
       423               1868.6   -0.629594307938532
       424                 1869    -0.63222403688269
       425               1869.4   -0.640111660657567
       426               1869.8   -0.650497143207758
       427               1870.2   -0.658972777135205
       428               1870.6   -0.661983022095228
       429                 1871   -0.658558783790795
       430               1871.4    -0.65024519682629
       431               1871.8   -0.639999189494119
       432               1872.2   -0.630928263293754
       433               1872.6   -0.624989081494277
       434                 1873   -0.622024392418098
       435               1873.4   -0.620140737817565
       436               1873.8   -0.617572242197639
       437               1874.2   -0.614419189325417
       438               1874.6   -0.612494110231637
       439                 1875   -0.613504516484682
       440               1875.4   -0.617553534080798
       441               1875.8   -0.623334276824608
       442               1876.2   -0.629322581138695
       443               1876.6   -0.634384385019075
       444                 1877     -0.6374626154211
       445               1877.4   -0.637453080642445
       446               1877.8   -0.633965282766439
       447               1878.2   -0.628147889008687
       448               1878.6    -0.62242932056688
       449                 1879   -0.619267965412291
       450               1879.4   -0.620007019191689
       451               1879.8   -0.624560349264357
       452               1880.2   -0.631805036391597
       453               1880.6   -0.640268084163836
       454                 1881   -0.648722978796286
       455               1881.4   -0.656257104863471
       456               1881.8   -0.661705122765852
       457               1882.2   -0.663208956168091
       458               1882.6   -0.658942258989555
       459                 1883   -0.648878010943008
       460               1883.4   -0.635973499352986
       461               1883.8   -0.625238534143136
       462               1884.2   -0.621035027041216
       463               1884.6   -0.624613705724187
       464                 1885    -0.63361959579197
       465               1885.4    -0.64367887773551
       466               1885.8    -0.65083929055254
       467               1886.2   -0.653248065180378
       468               1886.6   -0.651027996987978
       469                 1887   -0.644854801117617
       470               1887.4   -0.635174942755839
       471               1887.8   -0.623273770717788
       472               1888.2   -0.612617046746891
       473               1888.6   -0.607695404440165
       474                 1889   -0.610527515986178
       475               1889.4   -0.618627555697458
       476               1889.8   -0.627189856095356
       477               1890.2    -0.63333198397595
       478               1890.6    -0.63798761349608
       479                 1891   -0.644125353093841
       480               1891.4    -0.65374456821155
       481               1891.8   -0.666186073693098
       482               1892.2   -0.678238287684508
       483               1892.6    -0.68556434148195
       484                 1893   -0.684954364674923
       485               1893.4   -0.676293202435772
       486               1893.8   -0.662722584071162
       487               1894.2   -0.648762813543726
       488               1894.6   -0.638021395949181
       489                 1895    -0.63217482418986
       490               1895.4   -0.631304386311967
       491               1895.8   -0.634692524108686
       492               1896.2   -0.641531502675207
