     index            Field [G]         Intensity []

         1               1699.8   -0.699152774615746
         2               1700.2   -0.688782325956584
         3               1700.6   -0.678259415062215
         4                 1701   -0.669310925187146
         5               1701.4   -0.664032797528319
         6               1701.8   -0.663830634738362
         7               1702.2   -0.668356759983999
         8               1702.6   -0.675397352270743
         9                 1703   -0.681814832747542
        10               1703.4   -0.684780809537844
        11               1703.8   -0.682574426755309
        12               1704.2   -0.674644739148789
        13               1704.6   -0.661125904458459
        14                 1705   -0.642574981568032
        15               1705.4   -0.620663152752968
        16               1705.8   -0.599323526126682
        17               1706.2   -0.584609622339485
        18               1706.6   -0.582183792612341
        19                 1707   -0.593803644238506
        20               1707.4   -0.615722679365717
        21               1707.8   -0.640529762997176
        22               1708.2    -0.66099977138947
        23               1708.6   -0.673164142892347
        24                 1709   -0.677042138690013
        25               1709.4   -0.675406572619977
        26               1709.8    -0.67175114058773
        27               1710.2   -0.668444034527056
        28               1710.6   -0.665803718053212
        29                 1711   -0.662588123777823
        30               1711.4    -0.65771069478069
        31               1711.8   -0.651997306245903
        32               1712.2   -0.648386305685563
        33               1712.6   -0.650041175460501
        34                 1713   -0.657885330641875
        35               1713.4   -0.669941283180378
        36               1713.8   -0.683103363247938
        37               1714.2   -0.695298155122146
        38               1714.6   -0.705712168921309
        39                 1715   -0.713346732089121
        40               1715.4   -0.716224926116411
        41               1715.8    -0.71253463683388
        42               1716.2   -0.702495010220446
        43               1716.6   -0.688908715768775
        44                 1717   -0.675695571640972
        45               1717.4   -0.665498344649677
        46               1717.8   -0.658315156135359
        47               1718.2   -0.652384960078052
        48               1718.6   -0.646476753638126
        49                 1719   -0.641282925171254
        50               1719.4   -0.638701676492929
        51               1719.8   -0.640149975159147
        52               1720.2     -0.6456471401616
        53               1720.6   -0.653955308538571
        54                 1721   -0.663075137948908
        55               1721.4   -0.670892463880591
        56               1721.8   -0.676083454905893
        57               1722.2   -0.678634395379049
        58               1722.6    -0.67912853728194
        59                 1723   -0.677396129030967
        60               1723.4   -0.672368288411235
        61               1723.8   -0.663791845639935
        62               1724.2   -0.653964898745471
        63               1724.6    -0.64711179889855
        64                 1725   -0.646362627499911
        65               1725.4   -0.650963533567847
        66               1725.8   -0.656496100469667
        67               1726.2   -0.658290533574473
        68               1726.6     -0.6551796678541
        69                 1727   -0.650202589102264
        70               1727.4   -0.647654503751255
        71               1727.8   -0.649296726049215
        72               1728.2    -0.65307231235056
        73               1728.6   -0.655114127031993
        74                 1729   -0.653094227040128
        75               1729.4   -0.648278870838112
        76               1729.8   -0.644855626829667
        77               1730.2   -0.647004122809449
        78               1730.6   -0.655738917463168
        79                 1731    -0.66787779556762
        80               1731.4   -0.678157839225605
        81               1731.8   -0.683148844764219
        82               1732.2   -0.683874553607893
        83               1732.6   -0.684723312500864
        84                 1733    -0.68934495261783
        85               1733.4    -0.69712497175351
        86               1733.8   -0.703394675925665
        87               1734.2    -0.70301839793683
        88               1734.6   -0.694100015483855
        89                 1735   -0.679040949609771
        90               1735.4   -0.662887297272391
        91               1735.8   -0.650818268593866
        92               1736.2    -0.64641294554167
        93               1736.6    -0.65094179816515
        94                 1737   -0.663075704622315
        95               1737.4   -0.678887956724793
        96               1737.8   -0.692864977558202
        97               1738.2   -0.700210279464955
        98               1738.6    -0.69915880728513
        99                 1739   -0.691412837171811
       100               1739.4   -0.680371573544107
       101               1739.8   -0.668936336638581
       102               1740.2   -0.658794978648075
       103               1740.6   -0.651099810907908
       104                 1741   -0.646897026534134
       105               1741.4    -0.64640730957035
       106               1741.8   -0.648109869813197
       107               1742.2   -0.649123366143613
       108               1742.6   -0.647034633533622
       109                 1743   -0.641684926689777
       110               1743.4   -0.635277416979079
       111               1743.8   -0.630766369577032
       112               1744.2   -0.630122515693074
       113               1744.6   -0.633771614229772
       114                 1745     -0.6407402560435
       115               1745.4   -0.648474356567021
       116               1745.8   -0.652854854684847
       117               1746.2   -0.649986359545437
       118               1746.6   -0.639482720391243
       119                 1747    -0.62615340299817
       120               1747.4   -0.617394527806027
       121               1747.8   -0.617802539847617
       122               1748.2   -0.625927499451791
       123               1748.6   -0.636245970039454
       124                 1749   -0.644113359150651
       125               1749.4   -0.648806298653653
       126               1749.8   -0.652487978106365
       127               1750.2   -0.657129099410668
       128               1750.6   -0.662438665123773
       129                 1751    -0.66597504659876
       130               1751.4    -0.66484999282693
       131               1751.8   -0.657865320237761
       132               1752.2   -0.646784358104924
       133               1752.6    -0.63576439650933
       134                 1753   -0.629184574725514
       135               1753.4   -0.629321242471633
       136               1753.8    -0.63528856128687
       137               1754.2   -0.643636029068148
       138               1754.6    -0.65016039530019
       139                 1755   -0.652118114638142
       140               1755.4   -0.649714461957046
       141               1755.8   -0.645834238268435
       142               1756.2    -0.64405403159617
       143               1756.6   -0.646345963614294
       144                 1757   -0.652106607376481
       145               1757.4   -0.658974763413426
       146               1757.8   -0.664538949902635
       147               1758.2   -0.667603787740518
       148               1758.6   -0.668284988671076
       149                 1759   -0.667216450659907
       150               1759.4    -0.66480593518645
       151               1759.8   -0.661281132342992
       152               1760.2   -0.657383289566496
       153               1760.6   -0.654758034455881
       154                 1761   -0.655204832211894
       155               1761.4   -0.659119238771382
       156               1761.8   -0.664643672389502
       157               1762.2   -0.668725735631597
       158               1762.6   -0.669397305588063
       159                 1763   -0.667152908950811
       160               1763.4   -0.664174238081614
       161               1763.8   -0.662414885555336
       162               1764.2   -0.662505763073568
       163               1764.6   -0.664102928501961
       164                 1765   -0.666682813338412
       165               1765.4    -0.66989785934129
       166               1765.8   -0.673672393568268
       167               1766.2   -0.678317978192354
       168               1766.6   -0.684228900965536
       169                 1767   -0.690913533493585
       170               1767.4   -0.696311160980258
       171               1767.8   -0.697639914105821
       172               1768.2   -0.693590066279285
       173               1768.6   -0.686055755169946
       174                 1769   -0.679593661501713
       175               1769.4   -0.678560502346954
       176               1769.8   -0.684001687150158
       177               1770.2   -0.692874335596571
       178               1770.6   -0.700261228514137
       179                 1771   -0.702631464024307
       180               1771.4   -0.699660529331595
       181               1771.8   -0.693813258825685
       182               1772.2    -0.68849033688457
       183               1772.6    -0.68588221794198
       184                 1773   -0.685697316941514
       185               1773.4   -0.685810772447439
       186               1773.8   -0.684563425842498
       187               1774.2   -0.682606061760453
       188               1774.6   -0.682301560329506
       189                 1775   -0.685122194045107
       190               1775.4   -0.689466743991943
       191               1775.8   -0.690887763557839
       192               1776.2    -0.68479239448061
       193               1776.6   -0.669901383444085
       194                 1777     -0.6499143448018
       195               1777.4   -0.631726013751177
       196               1777.8   -0.621283741740626
       197               1778.2   -0.620434738200856
       198               1778.6   -0.627091591872158
       199                 1779   -0.637689972325461
       200               1779.4   -0.649199750710977
       201               1779.8   -0.659501710899349
       202               1780.2   -0.667106045089895
       203               1780.6    -0.67127604016423
       204                 1781   -0.672388641505677
       205               1781.4   -0.671927142189816
       206               1781.8   -0.671992541989312
       207               1782.2   -0.674440301467257
       208               1782.6   -0.679662695569277
