     index            Field [G]         Intensity []

         1               1699.8   -0.636105256814396
         2               1700.2   -0.630021660671999
         3               1700.6   -0.626773439736983
         4                 1701   -0.627524001667395
         5               1701.4   -0.632674420556807
         6               1701.8   -0.641222247869893
         7               1702.2    -0.65060691807451
         8               1702.6   -0.657329048993314
         9                 1703   -0.658348801829395
        10               1703.4   -0.652911807624743
        11               1703.8   -0.643707673494646
        12               1704.2   -0.635968979564495
        13               1704.6   -0.634477269304625
        14                 1705   -0.640546589471342
        15               1705.4   -0.651408986457682
        16               1705.8   -0.662327417951019
        17               1706.2   -0.669518471695483
        18               1706.6   -0.671846812576405
        19                 1707    -0.67063991248142
        20               1707.4   -0.668079723582196
        21               1707.8   -0.665284844115376
        22               1708.2   -0.661651587288361
        23               1708.6   -0.656154931719357
        24                 1709   -0.649079961629468
        25               1709.4   -0.641952522411884
        26               1709.8   -0.635879223031225
        27               1710.2   -0.630817165583721
        28               1710.6   -0.626887283520773
        29                 1711   -0.625704060061253
        30               1711.4   -0.629465893056476
        31               1711.8   -0.638531160620914
        32               1712.2   -0.650259856229241
        33               1712.6    -0.66051476677967
        34                 1713   -0.666360319497471
        35               1713.4   -0.667497367823671
        36               1713.8   -0.665622881555464
        37               1714.2   -0.663066651060944
        38               1714.6   -0.662226735948934
        39                 1715    -0.66545829585084
        40               1715.4   -0.673895386142249
        41               1715.8   -0.685344558834913
        42               1716.2   -0.693893200164894
        43               1716.6   -0.693139602699375
        44                 1717   -0.680958363496757
        45               1717.4   -0.661436207956285
        46               1717.8   -0.642185629352753
        47               1718.2   -0.629572558093059
        48               1718.6   -0.625709963642294
        49                 1719   -0.628828059889202
        50               1719.4   -0.635751552246802
        51               1719.8   -0.644061209328356
        52               1720.2   -0.652506983671628
        53               1720.6   -0.660280167539895
        54                 1721   -0.666757623272133
        55               1721.4   -0.672112514337641
        56               1721.8   -0.677410275733564
        57               1722.2   -0.683200341416523
        58               1722.6   -0.687969974344014
        59                 1723   -0.688850399928924
        60               1723.4   -0.684680292208213
        61               1723.8   -0.678323607549828
        62               1724.2   -0.675167800873169
        63               1724.6    -0.67859608897561
        64                 1725   -0.686679670354351
        65               1725.4   -0.693299352453323
        66               1725.8   -0.692611802063766
