     index            Field [G]         Intensity []

         1               1699.8   -0.607206694923986
         2               1700.2    -0.61937194304667
         3               1700.6   -0.633884732712522
         4                 1701   -0.647954109559761
         5               1701.4   -0.657653433162895
         6               1701.8   -0.660294514766971
         7               1702.2   -0.656787199742409
         8               1702.6   -0.651145053166039
         9                 1703   -0.647166970439518
        10               1703.4   -0.645605192619869
        11               1703.8    -0.64421739581303
        12               1704.2   -0.639985203029937
        13               1704.6   -0.631541554714204
        14                 1705   -0.620548112921824
        15               1705.4   -0.611328623643203
        16               1705.8   -0.608530446159421
        17               1706.2   -0.614080821302196
        18               1706.6   -0.625942921469687
        19                 1707    -0.63987619796535
        20               1707.4   -0.652491978828039
        21               1707.8   -0.662775875513034
        22               1708.2   -0.671098538769002
        23               1708.6   -0.677249026608479
        24                 1709   -0.679702534718672
        25               1709.4   -0.676950416243926
        26               1709.8   -0.669702228449751
        27               1710.2   -0.661777862871531
        28               1710.6   -0.658485091786133
        29                 1711   -0.663521516224137
        30               1711.4   -0.676752366009168
        31               1711.8   -0.694231153902365
        32               1712.2   -0.709901601949241
        33               1712.6   -0.717802530991321
        34                 1713    -0.71427446877351
        35               1713.4   -0.699815415187913
        36               1713.8   -0.679485096152348
        37               1714.2   -0.660784200510534
        38               1714.6   -0.649597181814897
        39                 1715   -0.646645952874678
        40               1715.4    -0.64709150413546
        41               1715.8   -0.644078282326518
        42               1716.2   -0.634173970654956
        43               1716.6   -0.620683958251902
        44                 1717   -0.611800109189062
        45               1717.4   -0.614624170499155
        46               1717.8   -0.629865749040619
        47               1718.2   -0.651422262977576
        48               1718.6   -0.670588510663947
        49                 1719    -0.68110012228135
        50               1719.4    -0.68169007582037
        51               1719.8   -0.675543499382911
        52               1720.2   -0.667864720453508
        53               1720.6   -0.663130334265588
        54                 1721   -0.663333724456606
        55               1721.4    -0.66780081923207
        56               1721.8    -0.67415370157687
        57               1722.2   -0.679543314872717
        58               1722.6   -0.681587807906908
        59                 1723   -0.678879892126133
        60               1723.4    -0.67116093164077
        61               1723.8   -0.659398901210807
        62               1724.2   -0.645816216856474
        63               1724.6   -0.633455317802145
        64                 1725   -0.624980879598297
        65               1725.4   -0.621274493481906
        66               1725.8   -0.620818069714005
        67               1726.2   -0.620277445974352
        68               1726.6   -0.616051322322164
        69                 1727   -0.606396082104766
        70               1727.4   -0.593212529209268
        71               1727.8   -0.581782288485556
        72               1728.2   -0.577663245945587
        73               1728.6   -0.582868027915538
        74                 1729   -0.594830761983758
        75               1729.4   -0.608919186139246
        76               1729.8   -0.621506802570366
        77               1730.2    -0.63081054903887
        78               1730.6   -0.636131689811009
        79                 1731   -0.637652751276619
        80               1731.4   -0.636945183454372
        81               1731.8   -0.636659212352242
        82               1732.2   -0.639074182821787
        83               1732.6   -0.644911059302103
        84                 1733   -0.653318207834673
        85               1733.4   -0.662451418807905
        86               1733.8   -0.670038695454423
        87               1734.2   -0.674229396157898
        88               1734.6   -0.674731990860892
        89                 1735   -0.673068187083118
        90               1735.4   -0.671132554991345
        91               1735.8   -0.669356630205584
        92               1736.2   -0.666669013495266
        93               1736.6   -0.662403009169793
        94                 1737   -0.657864260690985
        95               1737.4   -0.655748060504266
        96               1737.8   -0.658219636905415
        97               1738.2   -0.665641615494678
        98               1738.6   -0.676585756766144
        99                 1739   -0.688419248443097
       100               1739.4   -0.698080336595012
       101               1739.8   -0.703202749027696
       102               1740.2   -0.703128394343366
       103               1740.6   -0.698798187702778
       104                 1741   -0.691502216417575
       105               1741.4   -0.681904769931862
       106               1741.8   -0.670512458389567
       107               1742.2   -0.658894154919835
       108               1742.6   -0.649808570633468
       109                 1743   -0.645563036770909
       110               1743.4   -0.646209018574154
       111               1743.8   -0.649749775766395
       112               1744.2    -0.65432040036103
       113               1744.6   -0.659781904949341
       114                 1745   -0.666773425407882
       115               1745.4    -0.67462713074201
       116               1745.8   -0.681207620509667
       117               1746.2   -0.685117390676169
       118               1746.6   -0.687324757956958
       119                 1747   -0.689951584565279
       120               1747.4    -0.69369147119869
       121               1747.8   -0.696889079255925
       122               1748.2   -0.696990317461314
       123               1748.6   -0.692437946483551
       124                 1749   -0.683240082144039
       125               1749.4   -0.670386742858682
       126               1749.8   -0.655390492407605
       127               1750.2   -0.640492908969463
       128               1750.6   -0.628662769930088
       129                 1751   -0.622359177032195
       130               1751.4   -0.621712808264419
       131               1751.8   -0.624201196020294
       132               1752.2   -0.626682891357632
       133               1752.6   -0.627968882923597
       134                 1753   -0.629518599504081
       135               1753.4   -0.634036272123922
       136               1753.8   -0.643583709803352
       137               1754.2   -0.658394987804058
       138               1754.6   -0.676495239495125
       139                 1755   -0.694067914191692
       140               1755.4   -0.706557529498241
       141               1755.8   -0.710113121778704
       142               1756.2   -0.702942414864083
       143               1756.6   -0.686474484762584
       144                 1757   -0.665802236042509
       145               1757.4   -0.648157563111454
       146               1757.8    -0.63925117765757
       147               1758.2   -0.639956099599658
       148               1758.6   -0.646476396446815
       149                 1759   -0.653972223415622
       150               1759.4   -0.660022236603254
       151               1759.8   -0.664773217249603
       152               1760.2   -0.668553571224038
       153               1760.6   -0.670309255467146
       154                 1761   -0.668703293944418
       155               1761.4   -0.664340358503978
       156               1761.8   -0.660304399141751
       157               1762.2   -0.660183947213227
       158               1762.6   -0.665502836920496
       159                 1763   -0.674922802907531
       160               1763.4    -0.68556958604313
       161               1763.8   -0.694898379217193
       162               1764.2   -0.701538763169083
       163               1764.6   -0.704870352885337
       164                 1765   -0.704142222559312
       165               1765.4   -0.698211322436691
       166               1765.8    -0.68645648274105
       167               1766.2   -0.670227067719679
       168               1766.6   -0.653228964285518
       169                 1767   -0.639924429255188
       170               1767.4   -0.633070769486949
       171               1767.8   -0.632578826727695
       172               1768.2   -0.636464062779851
       173               1768.6   -0.642569066047145
       174                 1769   -0.649519626625988
       175               1769.4   -0.656688490817032
       176               1769.8   -0.663665359927109
       177               1770.2   -0.669618214735237
       178               1770.6    -0.67310965845536
       179                 1771   -0.672953159511962
       180               1771.4   -0.669494203335489
       181               1771.8   -0.664621708951017
       182               1772.2   -0.660009428931517
       183               1772.6   -0.655439072215813
       184                 1773   -0.649252206007077
       185               1773.4   -0.640537477978796
       186               1773.8   -0.630705656527425
       187               1774.2   -0.622877980458725
       188               1774.6    -0.61975158291898
       189                 1775   -0.621840116960811
       190               1775.4    -0.62742264039116
       191               1775.8   -0.634050833541551
       192               1776.2   -0.640259088504536
       193               1776.6    -0.64604799207882
       194                 1777   -0.651910713459074
       195               1777.4   -0.657607858236588
       196               1777.8   -0.662053965395899
       197               1778.2   -0.664377793997119
       198               1778.6   -0.664977166823519
       199                 1779   -0.665464060832164
       200               1779.4   -0.667424597326317
       201               1779.8    -0.67092851344205
       202               1780.2   -0.674149059654155
       203               1780.6   -0.674796440594946
       204                 1781    -0.67232827328553
       205               1781.4   -0.668731580335589
       206               1781.8   -0.666885343118338
       207               1782.2   -0.668052978260675
       208               1782.6   -0.670856365402869
       209                 1783   -0.672357476389152
       210               1783.4   -0.670051189656078
       211               1783.8   -0.663501667142555
       212               1784.2   -0.655016564851394
       213               1784.6   -0.648780394112691
       214                 1785   -0.648166661492724
       215               1785.4   -0.652744941646233
       216               1785.8   -0.658000306946633
       217               1786.2   -0.658917566928721
       218               1786.6   -0.654348249161558
       219                 1787   -0.647656392815406
       220               1787.4    -0.64300983225985
       221               1787.8   -0.641529849701328
       222               1788.2   -0.641430722549558
       223               1788.6   -0.641388997151807
       224                 1789   -0.642698811578157
       225               1789.4   -0.647643150427029
       226               1789.8   -0.656304103584262
       227               1790.2   -0.665777514623187
       228               1790.6   -0.672732752900629
       229                 1791   -0.676481507762219
       230               1791.4   -0.679339246053132
       231               1791.8   -0.683949477272108
       232               1792.2   -0.690226698294282
       233               1792.6   -0.694922406852129
       234                 1793   -0.694297386442486
       235               1793.4   -0.687380921590375
       236               1793.8   -0.676806271920213
       237               1794.2   -0.666704727314936
       238               1794.6   -0.659877087462519
       239                 1795   -0.656673769844929
       240               1795.4    -0.65598133875028
       241               1795.8   -0.656821866803512
       242               1796.2   -0.658914392210136
       243               1796.6   -0.661920004189597
       244                 1797    -0.66467935431865
       245               1797.4   -0.665924864930275
       246               1797.8   -0.666163098110701
       247               1798.2   -0.668478108054842
       248               1798.6   -0.676521730703826
       249                 1799    -0.69091715374816
       250               1799.4   -0.707461507001426
       251               1799.8   -0.719156520848628
       252               1800.2   -0.720537970548321
       253               1800.6   -0.710865676788671
       254                 1801   -0.694164272179478
       255               1801.4   -0.676737898153078
       256               1801.8   -0.664003595076792
       257               1802.2   -0.658268990489887
       258               1802.6   -0.658542830860824
       259                 1803    -0.66241647170682
       260               1803.4   -0.668259568585199
       261               1803.8    -0.67538677003904
       262               1804.2   -0.682234764339228
